Distance_(microns),Gray_Value
0.0000,16.7500
0.7740,16.2676
1.5479,13.1521
2.3219,11.4354
3.0959,9.5811
3.8698,8.6253
4.6438,7.3358
5.4178,7.5392
6.1917,8.1636
6.9657,9.4554
7.7397,9.9449
8.5136,10.4465
9.2876,10.9995
10.0616,11.0000
10.8356,11.0000
11.6095,11.0000
12.3835,10.2194
13.1575,8.2169
13.9314,6.6340
14.7054,5.0869
15.4794,4.4521
16.2533,3.9943
17.0273,3.2499
17.8013,4.0000
18.5752,4.0000
19.3492,4.0000
20.1232,4.0000
20.8971,4.0000
21.6711,4.8419
22.4451,5.0000
23.2190,5.0000
23.9930,5.2963
24.7670,5.5696
25.5409,5.0000
26.3149,5.0000
27.0889,5.0000
27.8629,5.0000
28.6368,5.4384
29.4108,6.0963
30.1848,7.6912
30.9587,10.5169
31.7327,12.7557
32.5067,13.8765
33.2806,14.2634
34.0546,13.8791
34.8286,11.8484
35.6025,9.6967
36.3765,7.1230
37.1505,6.3444
37.9244,5.7654
38.6984,4.3433
39.4724,3.3083
40.2463,2.0000
41.0203,2.0000
41.7943,2.0000
42.5682,2.0000
43.3422,2.0000
44.1162,2.0000
44.8901,2.0000
45.6641,2.0000
46.4381,2.0000
47.2121,2.0582
47.9860,2.0000
48.7600,2.5150
49.5340,2.0291
50.3079,2.0000
51.0819,2.0000
51.8559,2.0377
52.6298,3.2448
53.4038,4.0000
54.1778,4.0000
54.9517,4.0000
55.7257,4.0000
56.4997,4.3126
57.2736,4.2618
58.0476,4.0000
58.8216,4.0000
59.5955,3.5820
60.3695,3.6326
61.1435,4.0000
61.9174,4.0000
62.6914,4.0401
63.4654,3.7180
64.2393,3.0000
65.0133,2.7289
65.7873,2.0000
