Distance_(microns),Gray_Value
0.0000,5.000
0.7740,5.000
1.5479,7.346
2.3219,7.349
3.0959,11.400
3.8698,14.272
4.6438,21.869
5.4178,24.589
6.1917,25.552
6.9657,21.538
7.7397,20.099
8.5136,16.520
9.2876,16.000
10.0616,16.000
10.8356,16.000
11.6095,16.000
12.3835,16.000
13.1575,16.040
13.9314,22.816
14.7054,31.226
15.4794,36.194
16.2533,39.358
17.0273,44.110
17.8013,51.255
18.5752,71.937
19.3492,83.985
20.1232,96.691
20.8971,108.539
21.6711,103.965
22.4451,96.503
23.2190,78.940
23.9930,72.538
24.7670,62.709
25.5409,59.132
26.3149,56.201
27.0889,56.000
27.8629,56.171
28.6368,57.241
29.4108,59.929
30.1848,62.017
30.9587,62.468
31.7327,69.878
32.5067,87.441
33.2806,104.188
34.0546,108.136
34.8286,124.891
35.6025,153.579
36.3765,176.052
37.1505,190.133
37.9244,184.645
38.6984,173.383
39.4724,165.199
40.2463,159.041
41.0203,149.250
41.7943,142.973
42.5682,144.410
43.3422,156.564
44.1162,177.336
44.8901,181.485
45.6641,178.100
46.4381,171.623
47.2121,162.627
47.9860,155.858
48.7600,146.668
49.5340,126.690
50.3079,109.082
51.0819,107.860
51.8559,114.630
52.6298,126.575
53.4038,138.903
54.1778,141.674
54.9517,156.174
55.7257,172.404
56.4997,173.434
57.2736,140.622
58.0476,125.641
58.8216,103.558
59.5955,82.497
60.3695,77.612
61.1435,67.620
61.9174,65.441
62.6914,61.848
63.4654,57.885
64.2393,58.357
65.0133,58.976
65.7873,65.006
66.5612,76.686
67.3352,86.246
68.1092,91.190
68.8832,95.090
69.6571,103.820
70.4311,105.513
71.2051,107.825
71.9790,108.000
72.7530,113.310
73.5270,119.960
74.3009,132.522
75.0749,143.549
75.8489,152.761
76.6228,156.918
