 ,X,Y,BX,BY,Width,Height
1,170,6,170,6,1,1
2,169,15,169,15,1,1
3,167,23,167,23,1,1
4,163,31,163,31,1,1
5,161,40,161,40,1,1
6,157,57,157,57,1,1
7,163,49,163,49,1,1
8,156,74,156,74,1,1
9,159,66,159,66,1,1
10,155,83,155,83,1,1
11,149,91,149,91,1,1
12,149,100,149,100,1,1
13,147,117,147,117,1,1
14,149,109,149,109,1,1
15,147,0,147,0,1,1
16,146,126,146,126,1,1
17,143,134,143,134,1,1
18,144,143,144,143,1,1
19,143,152,143,152,1,1
20,142,169,142,169,1,1
21,143,160,143,160,1,1
22,138,177,138,177,1,1
23,141,195,141,195,1,1
24,138,186,138,186,1,1
25,137,203,137,203,1,1
26,139,212,139,212,1,1
27,138,221,138,221,1,1
28,139,229,139,229,1,1
29,137,238,137,238,1,1
30,137,246,137,246,1,1
31,134,255,134,255,1,1
32,137,264,137,264,1,1
33,139,273,139,273,1,1
34,161,333,161,333,1,1
35,161,342,161,342,1,1
36,165,325,165,325,1,1
37,163,307,163,307,1,1
38,144,290,144,290,1,1
39,139,281,139,281,1,1
40,161,316,161,316,1,1
41,165,299,165,299,1,1
42,152,349,152,349,1,1
