 ,X,Y,BX,BY,Width,Height
1,95,280,95,280,1,1
2,94,319,94,319,1,1
3,94,192,94,192,1,1
4,95,270,95,270,1,1
5,95,231,95,231,1,1
6,96,221,96,221,1,1
7,92,172,92,172,1,1
8,95,152,95,152,1,1
9,96,348,96,348,1,1
10,95,338,95,338,1,1
11,91,329,91,329,1,1
12,95,289,95,289,1,1
13,94,241,94,241,1,1
14,95,113,95,113,1,1
15,95,103,95,103,1,1
16,96,44,96,44,1,1
17,96,34,96,34,1,1
18,95,15,95,15,1,1
19,94,5,94,5,1,1
20,94,309,94,309,1,1
21,94,299,94,299,1,1
22,91,251,91,251,1,1
23,91,143,91,143,1,1
24,95,64,95,64,1,1
25,94,54,94,54,1,1
26,96,24,96,24,1,1
27,89,202,89,202,1,1
28,92,182,92,182,1,1
29,95,162,95,162,1,1
30,88,261,88,261,1,1
31,90,212,90,212,1,1
32,96,122,96,122,1,1
33,95,93,95,93,1,1
34,95,83,95,83,1,1
35,95,73,95,73,1,1
36,92,133,92,133,1,1
