 ,X,Y,BX,BY,Width,Height
1,89,0,89,0,1,1
2,88,7,88,7,1,1
3,87,26,87,26,1,1
4,87,39,87,39,1,1
5,91,20,91,20,1,1
6,87,52,87,52,1,1
7,122,14,122,14,1,1
8,105,33,105,33,1,1
9,91,65,91,65,1,1
10,116,46,116,46,1,1
11,87,84,87,84,1,1
12,112,59,112,59,1,1
13,87,71,87,71,1,1
14,91,97,91,97,1,1
15,102,78,102,78,1,1
16,87,116,87,116,1,1
17,87,129,87,129,1,1
18,93,110,93,110,1,1
19,87,149,87,149,1,1
20,87,103,87,103,1,1
21,88,136,88,136,1,1
22,87,175,87,175,1,1
23,87,162,87,162,1,1
24,87,224,87,224,1,1
25,98,91,98,91,1,1
26,87,205,87,205,1,1
27,88,188,88,188,1,1
28,87,185,87,185,1,1
29,87,243,87,243,1,1
30,89,143,89,143,1,1
31,87,207,87,207,1,1
32,87,252,87,252,1,1
33,88,214,88,214,1,1
34,88,195,88,195,1,1
35,87,168,87,168,1,1
36,87,259,87,259,1,1
37,88,233,88,233,1,1
38,87,230,87,230,1,1
39,88,156,88,156,1,1
40,88,246,88,246,1,1
41,87,266,87,266,1,1
42,90,123,90,123,1,1
43,87,272,87,272,1,1
44,87,279,87,279,1,1
45,87,294,87,294,1,1
46,87,285,87,285,1,1
47,87,298,87,298,1,1
48,87,305,87,305,1,1
49,87,311,87,311,1,1
50,87,320,87,320,1,1
51,87,326,87,326,1,1
52,87,332,87,332,1,1
53,87,339,87,339,1,1
54,87,346,87,346,1,1
55,87,349,87,349,1,1
