 ,X,Y,BX,BY,Width,Height
1,355,126,355,126,1,1
2,349,132,349,132,1,1
3,360,120,360,120,1,1
4,349,138,349,138,1,1
5,349,144,349,144,1,1
6,364,114,364,114,1,1
7,369,108,369,108,1,1
8,375,102,375,102,1,1
9,356,344,356,344,1,1
10,359,338,359,338,1,1
11,379,96,379,96,1,1
12,364,332,364,332,1,1
13,378,83,378,83,1,1
14,377,313,377,313,1,1
15,379,90,379,90,1,1
16,368,326,368,326,1,1
17,374,320,374,320,1,1
18,380,307,380,307,1,1
19,379,77,379,77,1,1
20,349,349,349,349,1,1
21,349,150,349,150,1,1
22,380,301,380,301,1,1
23,380,71,380,71,1,1
24,379,64,379,64,1,1
25,349,235,349,235,1,1
26,380,294,380,294,1,1
27,348,241,348,241,1,1
28,369,180,369,180,1,1
29,380,168,380,168,1,1
30,380,58,380,58,1,1
31,350,229,350,229,1,1
32,365,198,365,198,1,1
33,355,186,355,186,1,1
34,376,174,376,174,1,1
35,354,223,354,223,1,1
36,351,192,351,192,1,1
37,359,217,359,217,1,1
38,356,210,356,210,1,1
39,362,204,362,204,1,1
40,380,162,380,162,1,1
41,348,247,348,247,1,1
42,349,156,349,156,1,1
43,380,52,380,52,1,1
44,348,253,348,253,1,1
45,379,45,379,45,1,1
46,380,288,380,288,1,1
47,348,259,348,259,1,1
48,380,39,380,39,1,1
49,380,33,380,33,1,1
50,348,265,348,265,1,1
51,380,282,380,282,1,1
52,380,27,380,27,1,1
53,348,271,348,271,1,1
54,380,20,380,20,1,1
55,380,276,380,276,1,1
56,380,14,380,14,1,1
57,380,8,380,8,1,1
58,380,2,380,2,1,1
