 ,X,Y,BX,BY,Width,Height
1,79,48,79,48,1,1
2,77,40,77,40,1,1
3,81,72,81,72,1,1
4,80,64,80,64,1,1
5,84,87,84,87,1,1
6,78,56,78,56,1,1
7,76,24,76,24,1,1
8,86,111,86,111,1,1
9,80,79,80,79,1,1
10,76,32,76,32,1,1
11,105,347,105,347,1,1
12,106,339,106,339,1,1
13,105,323,105,323,1,1
14,84,103,84,103,1,1
15,106,331,106,331,1,1
16,90,135,90,135,1,1
17,74,16,74,16,1,1
18,106,315,106,315,1,1
19,105,291,105,291,1,1
20,102,268,102,268,1,1
21,88,119,88,119,1,1
22,80,95,80,95,1,1
23,98,276,98,276,1,1
24,101,252,101,252,1,1
25,102,244,102,244,1,1
26,101,236,101,236,1,1
27,97,173,97,173,1,1
28,88,127,88,127,1,1
29,70,9,70,9,1,1
30,70,1,70,1,1,1
31,99,300,99,300,1,1
32,102,228,102,228,1,1
33,98,204,98,204,1,1
34,90,142,90,142,1,1
35,106,307,106,307,1,1
36,104,283,104,283,1,1
37,99,260,99,260,1,1
38,101,220,101,220,1,1
39,96,189,96,189,1,1
40,96,165,96,165,1,1
41,94,149,94,149,1,1
42,97,196,97,196,1,1
43,97,181,97,181,1,1
44,95,157,95,157,1,1
45,98,212,98,212,1,1
