 ,X,Y,BX,BY,Width,Height
1,103,128,103,128,1,1
2,102,157,102,157,1,1
3,102,99,102,99,1,1
4,101,89,101,89,1,1
5,101,147,101,147,1,1
6,102,139,102,139,1,1
7,100,109,100,109,1,1
8,102,177,102,177,1,1
9,101,119,101,119,1,1
10,102,79,102,79,1,1
11,101,167,101,167,1,1
12,101,69,101,69,1,1
13,101,197,101,197,1,1
14,100,187,100,187,1,1
15,97,206,97,206,1,1
16,76,325,76,325,1,1
17,98,216,98,216,1,1
18,100,60,100,60,1,1
19,99,49,99,49,1,1
20,62,345,62,345,1,1
21,98,227,98,227,1,1
22,74,315,74,315,1,1
23,82,295,82,295,1,1
24,96,236,96,236,1,1
25,98,40,98,40,1,1
26,101,30,101,30,1,1
27,62,335,62,335,1,1
28,96,246,96,246,1,1
29,86,287,86,287,1,1
30,95,276,95,276,1,1
31,87,268,87,268,1,1
32,95,256,95,256,1,1
33,83,305,83,305,1,1
34,101,20,101,20,1,1
35,101,10,101,10,1,1
36,99,1,99,1,1,1
