 ,X,Y,BX,BY,Width,Height
1,15,12,15,12,1,1
2,19,25,19,25,1,1
3,21,18,21,18,1,1
4,29,31,29,31,1,1
5,68,123,68,123,1,1
6,41,57,41,57,1,1
7,34,44,34,44,1,1
8,28,38,28,38,1,1
9,75,129,75,129,1,1
10,67,116,67,116,1,1
11,56,83,56,83,1,1
12,11,5,11,5,1,1
13,81,149,81,149,1,1
14,48,70,48,70,1,1
15,63,96,63,96,1,1
16,33,51,33,51,1,1
17,80,142,80,142,1,1
18,56,90,56,90,1,1
19,67,109,67,109,1,1
20,48,77,48,77,1,1
21,62,103,62,103,1,1
22,86,155,86,155,1,1
23,41,64,41,64,1,1
24,87,162,87,162,1,1
25,73,136,73,136,1,1
26,117,247,117,247,1,1
27,92,175,92,175,1,1
28,99,188,99,188,1,1
29,94,168,94,168,1,1
30,123,260,123,260,1,1
31,102,194,102,194,1,1
32,98,181,98,181,1,1
33,113,227,113,227,1,1
34,109,207,109,207,1,1
35,108,214,108,214,1,1
36,120,233,120,233,1,1
37,115,220,115,220,1,1
38,117,240,117,240,1,1
39,102,201,102,201,1,1
40,130,266,130,266,1,1
41,136,279,136,279,1,1
42,121,253,121,253,1,1
43,140,292,140,292,1,1
44,129,273,129,273,1,1
45,133,286,133,286,1,1
46,138,299,138,299,1,1
47,144,312,144,312,1,1
48,146,305,146,305,1,1
49,148,318,148,318,1,1
50,154,331,154,331,1,1
51,148,325,148,325,1,1
52,157,344,157,344,1,1
53,154,338,154,338,1,1
54,0,0,0,0,1,1
