 ,X,Y,BX,BY,Width,Height
1,174,12,174,12,1,1
2,187,44,187,44,1,1
3,184,36,184,36,1,1
4,170,4,170,4,1,1
5,180,28,180,28,1,1
6,177,20,177,20,1,1
7,198,69,198,69,1,1
8,208,93,208,93,1,1
9,195,61,195,61,1,1
10,201,77,201,77,1,1
11,191,53,191,53,1,1
12,205,85,205,85,1,1
13,216,117,216,117,1,1
14,210,101,210,101,1,1
15,213,109,213,109,1,1
16,227,149,227,149,1,1
17,243,222,243,222,1,1
18,246,246,246,246,1,1
19,219,125,219,125,1,1
20,221,133,221,133,1,1
21,241,198,241,198,1,1
22,224,141,224,141,1,1
23,242,206,242,206,1,1
24,245,238,245,238,1,1
25,235,174,235,174,1,1
26,244,230,244,230,1,1
27,250,270,250,270,1,1
28,243,214,243,214,1,1
29,251,342,251,342,1,1
30,238,182,238,182,1,1
31,233,166,233,166,1,1
32,247,254,247,254,1,1
33,230,158,230,158,1,1
34,240,190,240,190,1,1
35,248,262,248,262,1,1
36,253,335,253,335,1,1
37,254,302,254,302,1,1
38,251,278,251,278,1,1
39,252,286,252,286,1,1
40,253,294,253,294,1,1
41,256,326,256,326,1,1
42,255,310,255,310,1,1
43,256,318,256,318,1,1
44,249,349,249,349,1,1
